customer_id,arrival_time,service_start_time,departure_time,service_time,wait_time_Wq,total_time_W,assigned_counter,system_servers_c
1,1.19,1.19,2.09,0.9,0,0.9,1,2
2,1.53,1.53,5.38,3.85,0,3.85,2,2
3,1.79,2.09,4.12,2.03,0.3,2.33,1,2
4,2.59,4.12,5.85,1.73,1.53,3.26,1,2
5,3.86,5.38,6.3,0.92,1.52,2.44,2,2
6,4.41,5.85,6.75,0.9,1.44,2.34,1,2
7,8.36,8.36,9.55,1.19,0,1.19,2,2
8,9.51,9.51,12.03,2.52,0,2.52,1,2
9,10.17,10.17,14.75,4.58,0,4.58,2,2
10,10.67,12.03,13.6,1.57,1.36,2.93,1,2
11,11.09,13.6,16.03,2.43,2.51,4.94,1,2
12,12.39,14.75,16.69,1.94,2.36,4.3,2,2
13,12.97,16.03,18.19,2.16,3.06,5.22,1,2
14,13.03,16.69,19.16,2.47,3.66,6.13,2,2
15,13.54,18.19,22.25,4.06,4.65,8.71,1,2
16,14.88,19.16,20.06,0.9,4.28,5.18,2,2
17,15.08,20.06,23.23,3.17,4.98,8.15,2,2
18,15.27,22.25,23.15,0.9,6.98,7.88,1,2
19,16.03,23.15,24.05,0.9,7.12,8.02,1,2
20,16.79,23.23,25.1,1.87,6.44,8.31,2,2
21,17.8,24.05,24.95,0.9,6.25,7.15,1,2
22,19.69,24.95,29.71,4.76,5.26,10.02,1,2
23,20.98,25.1,27.27,2.17,4.12,6.29,2,2
24,21.92,27.27,30.1,2.83,5.35,8.18,2,2
25,23.21,29.71,30.61,0.9,6.5,7.4,1,2
26,23.6,30.1,32.09,1.99,6.5,8.49,2,2
27,24.05,30.61,32.4,1.79,6.56,8.35,1,2
28,24.3,32.09,32.99,0.9,7.79,8.69,2,2
29,24.65,32.4,33.3,0.9,7.75,8.65,1,2
30,25.65,32.99,35.61,2.62,7.34,9.96,2,2
31,25.75,33.3,34.2,0.9,7.55,8.45,1,2
32,26.31,34.2,36.79,2.59,7.89,10.48,1,2
33,26.88,35.61,37.39,1.78,8.73,10.51,2,2
34,27.56,36.79,37.87,1.08,9.23,10.31,1,2
35,28.11,37.39,42.19,4.8,9.28,14.08,2,2
36,28.49,37.87,41.92,4.05,9.38,13.43,1,2
37,29.04,41.92,42.89,0.97,12.88,13.85,1,2
38,31.28,42.19,43.09,0.9,10.91,11.81,2,2
39,34.17,42.89,43.79,0.9,8.72,9.62,1,2
40,34.86,43.09,44.21,1.12,8.23,9.35,2,2
41,35.84,43.79,46.48,2.69,7.95,10.64,1,2
42,35.97,44.21,49.01,4.8,8.24,13.04,2,2
43,36.35,46.48,47.45,0.97,10.13,11.1,1,2
44,36.88,47.45,50.61,3.16,10.57,13.73,1,2
45,38.9,49.01,50.99,1.98,10.11,12.09,2,2
46,39.18,50.61,53.2,2.59,11.43,14.02,1,2
47,39.84,50.99,51.89,0.9,11.15,12.05,2,2
48,44.08,51.89,53.01,1.12,7.81,8.93,2,2
49,44.81,53.01,53.91,0.9,8.2,9.1,2,2
50,45.76,53.2,54.13,0.93,7.44,8.37,1,2
