Customer_ID,Arrival_Time_Min,Interarrival_Time_Min,Number_of_Items,Estimated_Service_Time_Min
C001,0.0,0.0,41,5.19
C002,0.79,0.79,9,2.73
C003,7.03,6.24,6,1.6
C004,7.31,0.28,15,2.63
C005,7.93,0.62,42,6.94
C006,9.6,1.67,18,3.41
C007,14.19,4.59,45,6.2
C008,14.87,0.68,22,3.12
C009,16.12,1.25,23,4.56
C010,19.78,3.66,35,4.87
C011,20.01,0.23,19,4.2
C012,25.55,5.54,37,4.4
C013,28.58,3.03,19,4.67
C014,34.22,5.64,25,3.99
C015,35.49,1.27,24,4.07
C016,38.88,3.39,44,7.21
C017,39.41,0.53,16,2.67
C018,52.17,12.76,41,6.56
C019,53.27,1.1,4,1.23
C020,54.33,1.06,18,3.25
C021,56.67,2.34,21,3.34
C022,62.72,6.05,42,5.97
C023,63.51,0.79,36,5.98
C024,65.08,1.57,38,5.27
C025,81.9,16.82,33,5.5
C026,87.43,5.53,10,2.89
C027,88.97,1.54,5,1.95
C028,90.74,1.77,17,4.34
C029,90.77,0.03,8,2.41
C030,91.64,0.87,42,5.6
C031,92.12,0.48,1,1.83
C032,92.98,0.86,33,5.96
C033,93.3,0.32,41,5.7
C034,95.93,2.63,10,2.06
C035,104.52,8.59,34,6.62
C036,106.4,1.88,8,2.91
C037,111.39,4.99,20,3.02
C038,113.74,2.35,6,1.81
C039,113.94,0.2,35,5.87
C040,115.75,1.81,36,4.68
C041,118.36,2.61,14,3.72
C042,121.64,3.28,20,3.71
C043,122.95,1.31,34,5.0
C044,123.14,0.19,2,1.28
C045,123.84,0.7,5,1.54
C046,124.04,0.2,3,1.32
C047,124.8,0.76,43,6.45
C048,128.4,3.6,37,5.71
C049,130.19,1.79,27,3.47
C050,131.77,1.58,28,4.82
C051,131.93,0.16,42,7.57
C052,133.37,1.44,22,4.08
C053,133.97,0.6,35,5.28
C054,134.88,0.91,16,3.27
C055,139.5,4.62,36,4.61
C056,141.68,2.18,1,1.88
C057,146.97,5.29,11,2.52
C058,152.57,5.6,4,1.17
C059,153.96,1.39,30,4.58
C060,157.63,3.67,36,6.07
